subject,predicate,object,original_text
cradle,make,contact,PD - TU Inc - 18.12.13 - VHAM cradle makes contact with outrigger
conteiner,do,rápido,"ROV container door STBD close very fast._x000D_
Porta do conteiner do ROV à BE fecha muito rápido."
Worker,roll,Sleeves,Hazard Observation- LLOG Crown and Anchor  Theodore Spoolbase- 23 Aug 2017-  UT Worker Rolled Sleeves Up
leak,aft,hose,"Minor hydraulic oil leak from starboard, aft tugger winch hose"
isolada,para,quindaste,desrespeito a area isolada para a manutenção do quindaste
Potential,drop,objects,Potential dropped objects
ladder,show,signs,Aircraft ladder utilised for accessing and egressing welding habitat is showing signs of deterioration
valves,damage,agua,It was identified that during inspection on water and air valves conections the standard model were replaced and three retention valves was damaged / Foi identificado que durante Inspeção das válvula de ar e agua as conexões padrões foram trocadas e tres válvulas de retenção estavam danificadas
Speaker,have,foam,PA Speaker had foam stuffed inside to reduce noise level
Simulado,do,Site,Simulado do Plano de Ação de Emergência no Site.
pesagem,do,local,"Fio da balança usada para pesagem dos alimentos está atravessando a câmara frigorífica com alto risco de escorregão no local. – By Alexandre Dutra Catering_x000D_
_x000D_
The wire of the counter scale used for weighing the food is passing through by meat chamber with a high risk of slipping on the spot. – By Alexandre Dutra Catering"
project,relate,garage,Hazard Observation- Non-project related - The parking garage at the Gremp Campus.- 11.8.18 - Visibility concern around corners
Personnel,use,PPE,HAZOB-016170X071 -Deep Energy-10/02/2018 Personnel not using sufficient PPE
members,use,covers,"Integrantes não estão utilizando pantufas dentro das acomodações – Reported by Leonardo Oliveira (Uniflex) - Catering team_x000D_
Crew members not using shoe covers inside accommodation"
Tela,do,helideck,"Helideck grille_x000D_
Tela do helideck"
staff,brush,powder,2xport staff brushing off cement powder from above head height. No eye protection worn
Emergency,stop,button,Emergency stop button on VLS without specific signage
Several,need,attention,"Several of the light- mast in the yard, (production side) need attention"
party,leave,area,"3rd party left hangers area dirty and untidy, and abrasive wheels with expired date. It was observed when left from port"
party,start,job,"During a daily check of PTW at the end of the day, it was noticed that a PTW was not opened during the afternoon but people were working on this job during the afternoon. Third party start the job during the afternoon under control and monitoring of office HSE without opened the PTW prepared by the Pipelay department"
Camera,need,lanyard,CCTV Camera needs Drops lanyard
Forklift,use,pallet,Forklift is used lower pallet with weight on it over the connector pistons
Fuel,leave,un,Fuel sounding pipe left un-secured
instructions,inform,point,Emergency instructions inside cabins informs that muster point it is in deck C but today it is in deck D.
Tampas,do,ventilação,Tampas dos motores de ventilação do traction winch com corrosão exessiva em manutenção- BOA PRÁTICA.
dos,do,PRÁTICA,Tampas dos motores de ventilação do traction winch com corrosão exessiva em manutenção- BOA PRÁTICA.
armazenados,incorretamente,principal,"Many Pipes and material inadequade storage on the main deck._x000D_
_x000D_
Muitos tubos e materiais armazenados incorretamente no convés principal. ._x000D_
_x000D_
By Gabriel de Souza"
Atendimento,do,Jucu,Simulado do PAE - Plano de Atendimento a Emergências do Site Jucu
Slips,trip,dfalls,Slips trip an dfalls
articulado,espalhacabo,reparo,Braço articulado do espalhacabo necessitando de reparo
acima,do,VLS,Falta de organização acima do VLS.
padlock,insert,key,"When performing the entire valve locking circuit according to WorkSafe, a padlock was removed from the bridge (issued) for locking of the valve in the SHEAVE AFT hydraulic block and when the padlock was inserted the key did not leave the housing and it was observed that it was damaged, forcing them to do a re-work of locking and delaying the work that would be performed"
Employee,leave,valve,Employee left the Open-Top tank valve open after shutting down the transfer pump
segurança,deixado,enferrujadas,"Whip checks left hanging outside, exposed to weather and getting rusty._x000D_
Cabo de segurança deixados nas tomadas expostas ao tempo e ficando enferrujadas."
Toaster,leave,Unattended,Toaster Left Unattended in the Mess Room
VLS,lado,corrosão,Mesa do VLS lado BE com corrosão.
door,leave,aberta,"Tight door left open._x000D_
Porta-estanque deixada aberta."
HazOb,wear,Shirt,HazOb - Phoenix Project Theodore Spoolbase - 17 Aug 2017- Esfeller Worker Not Wearing a Shirt
Contractors,have,lanyard,Contractors did not have hard hat safety lanyard attached when working on the main deck.
tugger,make,contact,Fwd tugger made constant contact with Yokahama as pile was lowered subsea in CT
pile,lower,subsea,Fwd tugger made constant contact with Yokahama as pile was lowered subsea in CT
Hose,cross,walkways,Hose that was used to nitrogen was crossing the walkways – By Rodolfo B/E
canal,do,rádio,Movimentação de Carga simultâneas utilizando o mesmo canal do rádio.
Resíduo,desorganizado,container,"Garbage not organized inside container._x000D_
Resíduo desorganizado dentro de container."
rings,require,lighting,HAZOB-063301C002-BP Juniper EPCI-NSG-17.02.2016-D rings on deck require high lighting.
Loader,light,non,Loader lights non working
eyes,lack,documents,KLV 16 Lifted with lift eyes lacking certiication documents
eyes,lack,documents,KLV 16 Lifted with lift eyes lacking certiication documents
MAL,SÚBITO,CÁBREA,RELATÓRIO DE AVALIAÇÃO DO SIMULADO DE EMERGÊNCIA EM NR 33 - ESPAÇO CONFINADO – MAL SÚBITO NO INTERIOR DA CÁBREA
Potential,trip,hazard,"MWCC SURF - HAZOB - May 6, 2025 - Potential tripping hazard."
HAZOB,use,seatbelt,"MWCC SURF - HAZOB - November 12, 2023 - Not using seatbelt."
equipment,restrict,access,"MWCC SURF - HAZOB - February 6, 2025 - Stage equipment restricted access to shop FEX."
HPU,have,walls,"MWCC SURF - HAZOB - April 10, 2025 - inspecting HPU for use and notated that HPU did not have walls installed to limit possibility of personnel being struck by HPU supplied fluid or fittings if failure were to occur."
2025,-personnel,needs,"MWCC SURF - HAZOB - March 20, 2025 -Personnel needs to be briefed and trained on proper HAZCOM."
which,pose,risk,"MWCC SURF - HAZOB - June 18, 2025 - Personnel notated that when using door on southside of office, the door had to be propped open to regain access which could pose a security risk."
Personnel,exhibit,signs,"MWCC SURF - HAZOB - January 16, 2024 - Personnel exhibited signs of fatigue and frustration"
HAZOB,use,spotter,"MWCC SURF - HAZOB - August 24, 2023 - Not using a spotter."
which,pose,risk,"MWCC SURF - HAZOB - June 18, 2025 - Personnel notated that when using door on southside of office, the door had to be propped open to regain access which could pose a security risk."
HAZOB,wear,seatbelt,"MWCC SURF - HAZOB - May 16, 2024 - Not wearing seatbelt in Polaris."
HAZOB,stop,job,"MWCC SURF - HAZOB - May 21, 2025 - Stop the job had to be called twice to stop the job."
HAZOB,use,poles,"MWCC SURF - HAZOB - Dec. 9, 2024 - Not using push poles"
HAZOB,wear,belt,"MWCC SURF - HAZOB - Dec. 9, 2024 - Employee not wearing a seat belt."
HAZOB,cause,equipment,"MWCC SURF - HAZOB - April 11, 2025 - SCM and current rigging installation was causing equipment to lean"
HAZOB,use,belt,"MWCC SURF - HAZOB - January 17, 2023 - Not using seat belt while riding in the side by side."
HAZOB,obstruct,access,"MWCC SURF - HAZOB - April 17, 2025-Performing Walk down of reel 12 tie back job scope and notated that old dunnage from a previous job scope, may obstruct access for equipment needed to perform upcoming maintenance."
materials,install,lanyard,"MWCC SURF - HAZOB - July 14, 2025 - Personnel staging materials in manlift but did not install a tool lanyard."
Use,require,PPE,"MWCC SURF - HAZOB - April 29, 2024 - Use of paint required PPE"
erosion,create,hole,HAZOB - MWCC - March 28 2022 - Water erosion created a large hole
ERP,inform,sheets,"MWCC SURF - HAZOB - Sept 23, 2024 -Old ERP inform sheets on display"
operator,obscure,view,"MWCC SURF - HAZOB - February 20, 2025 - Forklift operator has obscured view."
Personnel,sign,JSA,"MWCC SURF - HAZOB - December 1, 2022 - Personnel not signing the JSA"
Person,wear,PPE,MWCC SURF - HAZOB - February 15 2023 - Person was not wearing proper PPE
HAZOB,need,repairs,"MWCC SURF - HAZOB - May 20, 2025 - Ground in front of Corexit tanks need repairs."
Member,have,PPE,"MWCC - Improper PPE - February 1, 2022 - Crew Member Had Improper PPE"
crates,complete,request,"MWCC SURF - HAZOB - March 25, 2025 - Personnel accessing crates to complete request from BSEE inspection."
HAZOB,wear,PPE,"MWCC SURF - HAZOB - June 14, 2023 - Not wearing proper PPE."
HAZOB,wear,PPE,"MWCC SURF - HAZOB - July 31, 2023 - Not wearing Proper PPE."
Clamshells,leave,half,"MWCC SURF - HAZOB - Oct. 09, 2024 - Clamshells left out half hazardly."
unit,make,noise,"MWCC SURF - HAZOB - Oct. 10, 2024 - During safety walk personnel notated that AC unit supplying offices was making a loud squealing noise and radiating excess heat."
Crane,lift,winches,"MWCC SURF - HAZOB - December 1, 2022 - While Crane was lifting the TR-51 winches it was noticed that an employee was putting themself in the line of fire and pinch point."
employee,put,themself,"MWCC SURF - HAZOB - December 1, 2022 - While Crane was lifting the TR-51 winches it was noticed that an employee was putting themself in the line of fire and pinch point."
HAZOB,wear,PPE,"MWCC SURF - HAZOB - May 20, 2025 - Not wear proper PPE."
Housekeeping,find,tags,"MWCC SURF - HAZOB - February 11, 2025 - Housekeeping found gasket tags."
Employee,stop,lift,MWCC SURF - HAZOB - Sept 21 2022 - Employee stopped the crane lift when they noticed a rigging issue that they thought it was a violation of standard practice
they,notice,issue,MWCC SURF - HAZOB - Sept 21 2022 - Employee stopped the crane lift when they noticed a rigging issue that they thought it was a violation of standard practice
slangs,require,use,"MWCC SURF - HAZOB - June 18, 2025 - Removal of wire slangs from baskets would require use of the extended boom forklift."
HAZOB,wear,PPE,"MWCC SURF - HAZOB - November 6, 2023 - Not wearing Proper PPE"
Personnel,perform,lift,"MWCC USA - HAZOB - May 16, 2024 - Rigging installed on RITT 3 was not originally installed on correct location to account for COG. Personnel performed test lift and set unit back down to adjust as needed."
Manlift,need,housekeeping,"MWCC SURF - HAZOB - December 4, 2023 - Manlift needs housekeeping."
WAH,drop,tool,"MWCC SURF - HAZOB - December 7, 2022 - WAH dropped tool."
Contractor,leave,pale,"MWCC SURF - HAZOB - June 10, 2024 - Contractor left un unidentified pale of oil"
HAZOB,wear,seatbelt,"MWCC SURF - HAZOB - October 4, 2023 - Forklift operator not wearing seatbelt"
HAZOB,wear,PPE,MWCC SURF - HAZOB - November 13 2023 - Not wearing proper PPE.
HAZOB,use,techniques,"MWCC SURF - HAZOB - November 13, 2023 - not using proper lifting techniques."
berm,have,water,"MWCC SURF - HAZOB - November 28, 2022 - Containment berm has water in it and is slipper."
crew,improper,PPE,MWCC - SURF - June 24 2022 - HAZOB - Lawn crew improper PPE
HAZOB,wear,gloves,"MWCC SURF - HAZOB - November 29, 2022 - Personnel not wearing gloves."
rowing,attract,rodents,"MWCC SURF - HAZOB - June 6, 2024 - Vegetation rowing in yard, will attract rodents and vermin."
HAZOB,wear,PPE,"MWCC SURF - HAZOB - November 30, 2022 - Personnel not wearing PPE in work area."
Sling,have,tear,"MWCC SURF - HAZOB - June 25, 2024 - Sling has a tear on the outer sheath"
HAZOB,wear,seatbelt,"MWCC SURF - HAZOB - September 26, 2023 - Crew member not wearing a seatbelt."
3,drop,Object,"HSE Standard #3 Dropped Object & Working at Heights
HB5"
testing,store,energy,"Pressure testing stored energy PV BVC,TSM"
Operatives,complete,Induction,Machine shop Operatives Working in A&T not Completing B1 Yard Induction.
på,traverskran,utsjekk,KSU B17 C: Kollisjonsbryter på traverskran A og B virker ikke etter en utført månedtlig utsjekk
i,dårlig,forfattning,"Bygg 126 E MMR
HMS forbedringsforslag
Sikkrere arbeid og transport av liggende ytterkanner på pall.
Vi har hatt flere tilfeller hvor ytterkanner ikke er forsvarlig sikret på pall og har sklidd av. Dvs at ytterkanner ligger på pall, oppå treverksvugger som i tilfeller ikke er skrudd fast eller at de er i dårlig forfattning. Ikke alle vet at disse treverksvuggene kan være dårlig skrudd sammen, gamle/råtne eller bare at de ligger løst på pall. 
Hele konseptet med ytterkanner liggende på pall her i produksjonen burde sees på, da disse trevuggene som kannen ligger på nok bare er ment som transport vugger fra produsent.

Kort oppsummert. 
Bedre sikring av ytterkanner på pall I produksjonslokalene våres."
dårlig,skrudd,sammen,"Bygg 126 E MMR
HMS forbedringsforslag
Sikkrere arbeid og transport av liggende ytterkanner på pall.
Vi har hatt flere tilfeller hvor ytterkanner ikke er forsvarlig sikret på pall og har sklidd av. Dvs at ytterkanner ligger på pall, oppå treverksvugger som i tilfeller ikke er skrudd fast eller at de er i dårlig forfattning. Ikke alle vet at disse treverksvuggene kan være dårlig skrudd sammen, gamle/råtne eller bare at de ligger løst på pall. 
Hele konseptet med ytterkanner liggende på pall her i produksjonen burde sees på, da disse trevuggene som kannen ligger på nok bare er ment som transport vugger fra produsent.

Kort oppsummert. 
Bedre sikring av ytterkanner på pall I produksjonslokalene våres."
på,pall,her,"Bygg 126 E MMR
HMS forbedringsforslag
Sikkrere arbeid og transport av liggende ytterkanner på pall.
Vi har hatt flere tilfeller hvor ytterkanner ikke er forsvarlig sikret på pall og har sklidd av. Dvs at ytterkanner ligger på pall, oppå treverksvugger som i tilfeller ikke er skrudd fast eller at de er i dårlig forfattning. Ikke alle vet at disse treverksvuggene kan være dårlig skrudd sammen, gamle/råtne eller bare at de ligger løst på pall. 
Hele konseptet med ytterkanner liggende på pall her i produksjonen burde sees på, da disse trevuggene som kannen ligger på nok bare er ment som transport vugger fra produsent.

Kort oppsummert. 
Bedre sikring av ytterkanner på pall I produksjonslokalene våres."
på,transport,produsent,"Bygg 126 E MMR
HMS forbedringsforslag
Sikkrere arbeid og transport av liggende ytterkanner på pall.
Vi har hatt flere tilfeller hvor ytterkanner ikke er forsvarlig sikret på pall og har sklidd av. Dvs at ytterkanner ligger på pall, oppå treverksvugger som i tilfeller ikke er skrudd fast eller at de er i dårlig forfattning. Ikke alle vet at disse treverksvuggene kan være dårlig skrudd sammen, gamle/råtne eller bare at de ligger løst på pall. 
Hele konseptet med ytterkanner liggende på pall her i produksjonen burde sees på, da disse trevuggene som kannen ligger på nok bare er ment som transport vugger fra produsent.

Kort oppsummert. 
Bedre sikring av ytterkanner på pall I produksjonslokalene våres."
I,produksjonslokalene,våres,"Bygg 126 E MMR
HMS forbedringsforslag
Sikkrere arbeid og transport av liggende ytterkanner på pall.
Vi har hatt flere tilfeller hvor ytterkanner ikke er forsvarlig sikret på pall og har sklidd av. Dvs at ytterkanner ligger på pall, oppå treverksvugger som i tilfeller ikke er skrudd fast eller at de er i dårlig forfattning. Ikke alle vet at disse treverksvuggene kan være dårlig skrudd sammen, gamle/råtne eller bare at de ligger løst på pall. 
Hele konseptet med ytterkanner liggende på pall her i produksjonen burde sees på, da disse trevuggene som kannen ligger på nok bare er ment som transport vugger fra produsent.

Kort oppsummert. 
Bedre sikring av ytterkanner på pall I produksjonslokalene våres."
aldri,tømt,fortsetter,Søppelbøtte (rød metall) utenfor døra nærmest lågen i 126/E blir aldri tømt og folk fortsetter å heve søppel til det renner over og blåser utover parken.
I,me,stropper,"Bygg 126 E MMR
Løft av SCM MK I med stropper.
Modulen hviler på styrepinnen på gulvet og vil kunne velte i stroppene hvis stroppene avlastes."
løfter,ve,låsemekanismer,"'Bygg 126 E MMR
Når vi bytter låsemekanismer blir det gjort løft av personell på opptil 35,75 kg. Ofte gjør to personer dette løftet sammen, men det er en fare for fingerskader da fingre kan bli klemt mellom delene. Operatører løfter for tungt ved bytte av låsemekanismer på SCMer.
Prøver å bruke kran til å løfte så langt det er mulig, men det er ikke optimalt."
produkter,me,kran,"Missing lifting Landing zone MMR: Ved kranløft av produkter med 70T kran til og fra 126G, så må de mellom landes ca midt i bygg 126E for og flytte 15T kran pga vi ikke kan løfte over 15T kran. Derfor burde det vært et dedikert landings område i B126E så vi slipper og måtte rydde oss en plass når vi har løfte operasjoner. Vi ønsker og ha korte og effektive og sikre løfte operasjoner. """
landes,midt,løfte,"Missing lifting Landing zone MMR: Ved kranløft av produkter med 70T kran til og fra 126G, så må de mellom landes ca midt i bygg 126E for og flytte 15T kran pga vi ikke kan løfte over 15T kran. Derfor burde det vært et dedikert landings område i B126E så vi slipper og måtte rydde oss en plass når vi har løfte operasjoner. Vi ønsker og ha korte og effektive og sikre løfte operasjoner. """
i,bygg,126E,"Missing lifting Landing zone MMR: Ved kranløft av produkter med 70T kran til og fra 126G, så må de mellom landes ca midt i bygg 126E for og flytte 15T kran pga vi ikke kan løfte over 15T kran. Derfor burde det vært et dedikert landings område i B126E så vi slipper og måtte rydde oss en plass når vi har løfte operasjoner. Vi ønsker og ha korte og effektive og sikre løfte operasjoner. """
Skaper,irritasjon,vanskelig,"Bygg 126 E MMR
Taklys driver å blinker. Skaper irritasjon og gjør det vanskelig å konsentrere seg med jobben man skal gjøre. 
Nærmeste leder er kontaktet"
modul,me,ytterkanne,"Står en scm i transportskid utenfor varemottak fra lager, dette er en gammel modul med back pack ytterkanne, denne står det skrudd på en nitrogenfylleklokke på toppen av accumulatoren, den burde ikke stå på under transport."
equipment,leak,oil,Stored equipment leaked silicone oil.
Company,strap,goods,Transport Company did not strap goods to vehicle
Label,discover,assembly,Label discovered in the bore of gate valve assembly
Block,strike,table,Block struck table while lifting block
Tubing,leave,condition,Tubing & Trolleys left in an unsafe condition
bay,cause,issue,Yellow and Black Barrier out side Bomb bay 5 is causing an access issue for offline pipework
Operations,take,Place,Burning Operations Taking Place On Pallet in B1 Yard
screens,block,exit,Welding screens partially blocking fire exit
Assessment,drop,Object,HSE Standards Compliance Assessment - 3 Dropped Object & Working at Height
Assessment,drop,Object,HSE Standards Compliance Assessment - 3 Dropped Object & Working at Height
Gland,pop,Slanted,Actuator Aft Packing Gland Slightly Popped Out Slanted During Dismantling
sling,have,puncture,Damaged web sling had a puncture and cut and not possible to use for lifting the object.
Gate,leave,open,Barrier Gate left open
technicians,perform,operations,technicians were performing deburring operations without wearing appropriate PPE
technicians,perform,operations,technicians were performing deburring operations without wearing appropriate PPE
who,lift,hanger,"Stopped machinist who was lifting a hanger onto a pallet, he was using his hands to guide the part"
he,use,hands,"Stopped machinist who was lifting a hanger onto a pallet, he was using his hands to guide the part"
who,lift,frame,Stopped machinist who was lifting a frame from the back of a truck onto the floor. He was manipulating the suspended material by hand and was in between the suspended load and a CNC machine
He,manipulate,material,Stopped machinist who was lifting a frame from the back of a truck onto the floor. He was manipulating the suspended material by hand and was in between the suspended load and a CNC machine
Blåkrana,ve,kranløft,Blåkrana i 126 (MMR) skaper mange unødige operasjoner ved kranløft.
nede,ve,automat,'HMS kasse nede ved cola automat i 126
fra,ne,området,"Bygg 126 F1 SCM Assy
Port fra 126F/ 2 og ned  i assembly området 126 F/ 1 har stått åpent i over en måned.  Fare for at personell som ikke skal ha tilgang kan ""forville seg"" ned dit."
UCON,H-12,HPCRT,SIFP: UCON H-12 HPCRT During retrival of HPC with HPCRT it is challenging to land the tool in it's skid in a safe and controlled manner.
NSA,tool,suggestion,SIFP: North Sea Atlantic: Karish NSA tooling conta ramp suggestion
SIFP,bleed,kit,SIFP: Bleed off kit for FCM and XT
Equipment,have,pockets,Equipment that was delivered in B9 has truck pockets that are too far apart for a large truck to reach them
Lifting,violate,policies,719068 - SIFP - Lifting of crownplug violates company policies.
G,eliminate,tools,SIFP - Hall G: Eliminate torque tools with hoses or cables
forks,damage,wall,FLT forks damaged wall while emptying skip
TESTE,bicone,N2,"DURANTE TESTE DO BICONE E N2, FOI OBSERVADO QUE A MANTA BALISTICA FICOU EM POSIÇÃO RUIM POR CAUSA DE RESSALTO."
Régua,do,pivotante,Régua do defletor pivotante
Escotilha,do,piso,Escotilha do piso do carrossel 2.500 sem identificação
rampa,do,basquete,Não temos a visibilidade da saída da linha rampa do basquete de 2500. Podendo causar dano ao produto.
precária,do,guincho,Condições precária do controle do guincho . Suporte feito com cabo polipropileno com risco de lesão durante a utilização desse controle na atividade
SIRENE,do,QUEDA,"SIRENE DO TENCIONADOR IMECA SEM DISPOSITIVO DE SEGURANÇA CONTRA QUEDA. EM POSIÇÃO NORMAL, A SIRENE NÃO OFERECE RISCO, MAS SE O IMECA ESTIVER REBATIDO, A SIRENE FICA NUMA POSIÇÃO QUE SE CAIR PODE ATINGIR ALGUEM NA PARTE DE BAIXO."
EM,POSIÇÃO,NORMAL,"SIRENE DO TENCIONADOR IMECA SEM DISPOSITIVO DE SEGURANÇA CONTRA QUEDA. EM POSIÇÃO NORMAL, A SIRENE NÃO OFERECE RISCO, MAS SE O IMECA ESTIVER REBATIDO, A SIRENE FICA NUMA POSIÇÃO QUE SE CAIR PODE ATINGIR ALGUEM NA PARTE DE BAIXO."
macacões,deixado,lavanderia,Verificados macacões deixados na lavanderia
metal,do,quebrada,Base da prateleira de barras de metal do pipelay está quebrada.
parte,do,danificado,"Durante inspeção de Drops realizada no mezanino acima do paiol de pesados a bombordo, foi observado que parte do guarda-corpo do mezanino está danificado (amassado) aumentando o risco de queda de objetos caso o mesmo venha a se soltar."
Durante,do,seja,"SWA - Durante a operação de subida do rancho, da balsa para área do rancho na proa boreste, com guindaste de provisão, ao pousar o mesmo na área estabelecida previamente, percebi que uma das manilhas do contêiner,  estava bem para fora, parei toda a operação e fizemos uma gestão de mudanças para fazer a checagem do mesmo, ao olhar a manilha o mesmo tinha um pino folgado mais estava com porca e contra pino, mais pela nossa checagem, o pino não é compatível com a manilha ou seja, esse pino não pertencia essa manilha, deve ter sido trocada em algum momento onshore, fizemos um relato para que fosse passado ao pessoal onshore e do porto para sempre checar todos os equipamentos de içamentos de todos os matérias que vem para bordo, pois pequenas coisas como essa tem um alto potencial de acidente grave, tá aí a importância do check list após recebimento de qualquer material que venha para navio. 
Chegamos o equipamento e o fiscal que estava acompanhando está operação anotou tudo que ocorreu e como em conjunto nos decidimos retornar com esse contenier para a balsa, após apertarmos a porca e acertar o contra pino, o fiscal ficou de relatar para o setor de embarque e desembarque de matérias responsável a importância de checar todos os Riggs dos materiais a serem icados antes mesmo do envio."
tá,check,após,"SWA - Durante a operação de subida do rancho, da balsa para área do rancho na proa boreste, com guindaste de provisão, ao pousar o mesmo na área estabelecida previamente, percebi que uma das manilhas do contêiner,  estava bem para fora, parei toda a operação e fizemos uma gestão de mudanças para fazer a checagem do mesmo, ao olhar a manilha o mesmo tinha um pino folgado mais estava com porca e contra pino, mais pela nossa checagem, o pino não é compatível com a manilha ou seja, esse pino não pertencia essa manilha, deve ter sido trocada em algum momento onshore, fizemos um relato para que fosse passado ao pessoal onshore e do porto para sempre checar todos os equipamentos de içamentos de todos os matérias que vem para bordo, pois pequenas coisas como essa tem um alto potencial de acidente grave, tá aí a importância do check list após recebimento de qualquer material que venha para navio. 
Chegamos o equipamento e o fiscal que estava acompanhando está operação anotou tudo que ocorreu e como em conjunto nos decidimos retornar com esse contenier para a balsa, após apertarmos a porca e acertar o contra pino, o fiscal ficou de relatar para o setor de embarque e desembarque de matérias responsável a importância de checar todos os Riggs dos materiais a serem icados antes mesmo do envio."
matérias,responsável,todos,"SWA - Durante a operação de subida do rancho, da balsa para área do rancho na proa boreste, com guindaste de provisão, ao pousar o mesmo na área estabelecida previamente, percebi que uma das manilhas do contêiner,  estava bem para fora, parei toda a operação e fizemos uma gestão de mudanças para fazer a checagem do mesmo, ao olhar a manilha o mesmo tinha um pino folgado mais estava com porca e contra pino, mais pela nossa checagem, o pino não é compatível com a manilha ou seja, esse pino não pertencia essa manilha, deve ter sido trocada em algum momento onshore, fizemos um relato para que fosse passado ao pessoal onshore e do porto para sempre checar todos os equipamentos de içamentos de todos os matérias que vem para bordo, pois pequenas coisas como essa tem um alto potencial de acidente grave, tá aí a importância do check list após recebimento de qualquer material que venha para navio. 
Chegamos o equipamento e o fiscal que estava acompanhando está operação anotou tudo que ocorreu e como em conjunto nos decidimos retornar com esse contenier para a balsa, após apertarmos a porca e acertar o contra pino, o fiscal ficou de relatar para o setor de embarque e desembarque de matérias responsável a importância de checar todos os Riggs dos materiais a serem icados antes mesmo do envio."
disso,caso,vazamento,"Próximo ao guincho de 30 ton a boreste meia-nau há um coletor de óleo hidráulico e lubrificante que pode ser atingido pelo cabo do guincho (quando este estiver no final do seu curso). Além disso, o mesmo encontra-se fora de uma área com contenção em caso de vazamento."
solenoides,do,segurança,Observado que os painéis de válvulas solenoides dos baskets não possuem trava de segurança
ferramentas,do,principal,Maçaneta para container de ferramentas do convés principal
Alarme,sonoro,tela,Alarme sonoro sem tela de proteção
luminaria,do,2500,Reposicionamento da luminaria do basquete de 2500
Essas,chapa,armazenadas,Foi observado que algumas chapas estão armazenadas de forma inadequada próximo à área do Palfinger. Essas chapas não estão sendo usadas e deveriam estar armazenadas em outro local.
apagada,do,boreste,"Observado rota de fuga apagada na área do convés principal a boreste (meia-nau), comprometendo a fuga de algum tripulante em uma situação de emergência."
Risco,do,Ciclo,HAZID - Estudo de Risco  do Skandi Búzios - Ciclo 4
pino,do,proa,Tensionador sem o contra pino do Rolete de proa.
dos,acessos,elétricos,Obstrução dos acessos aos paineis elétricos
spooling,do,BB,Quina viva no spooling do guincho de 15T BB.
barras,do,TLS,pino de travamento das barras do defletor de cabos na mesa do TLS
Mangueira,do,fuga,Mangueira do tanque de água oleosa suspensa sobre a rota de fuga
Cabos,elipse,manpool,Cabos na elipse no manpool
aço,do,Amassado,Sapatilho de aço do estropo de 4 pernas - Amassado
conservação,dreno,hatch,Sugestão de melhoria: Usar espuma expansiva para proteção e conservação do dreno dos hatch dos convés
pneumáticas,com,membros,[SWA] Aducha de mangueiras pneumáticas com potencial de torção de membros
Mesa,do,TLS,Mesa do TLS
SUPORTE,DO,DE,"MELHORIA NO SUPORTE DO SWIVEL DE 600T. O MESMO TEM OS OLHAIS PEQUENOS PARA O IÇAMENTO, DIFICULTANDO NA HORA DO TRANSPORTE."
calha,móvel,operações,"A calha móvel não possui guarda-corpo em um dos lados aumentando o risco de queda de altura dos funcionários que devem acessar o local durante algumas operações. Foi instalada uma cinta catraca como ponto de ancoragem de forma provisória para minimizar o risco de quedas.

The mobile gutter does not have guardrail on one side increasing the risk of fall from height of the employees who must access the place during some operations. It was installed a ratchet strap as an anchoring point in a provisory way to minimize the risk of falls."
gutter,have,guardrail,"A calha móvel não possui guarda-corpo em um dos lados aumentando o risco de queda de altura dos funcionários que devem acessar o local durante algumas operações. Foi instalada uma cinta catraca como ponto de ancoragem de forma provisória para minimizar o risco de quedas.

The mobile gutter does not have guardrail on one side increasing the risk of fall from height of the employees who must access the place during some operations. It was installed a ratchet strap as an anchoring point in a provisory way to minimize the risk of falls."
who,access,place,"A calha móvel não possui guarda-corpo em um dos lados aumentando o risco de queda de altura dos funcionários que devem acessar o local durante algumas operações. Foi instalada uma cinta catraca como ponto de ancoragem de forma provisória para minimizar o risco de quedas.

The mobile gutter does not have guardrail on one side increasing the risk of fall from height of the employees who must access the place during some operations. It was installed a ratchet strap as an anchoring point in a provisory way to minimize the risk of falls."
It,instal,strap,"A calha móvel não possui guarda-corpo em um dos lados aumentando o risco de queda de altura dos funcionários que devem acessar o local durante algumas operações. Foi instalada uma cinta catraca como ponto de ancoragem de forma provisória para minimizar o risco de quedas.

The mobile gutter does not have guardrail on one side increasing the risk of fall from height of the employees who must access the place during some operations. It was installed a ratchet strap as an anchoring point in a provisory way to minimize the risk of falls."
SINALIZAÇÃO,do,AMARELO,MELHORAR SINALIZAÇÃO DO NOVO SPREADER BAR COM FITA PRETO AMARELO PARA MELHOR VIZUALIZAÇÃO.
Durante,do,trabalho,"SWA -  Durante a soquetagem do cabo AR. existia outra atividade de trabalho a quente, podendo causar incêndio."
that,miss,barrier,"Observed during 5S inspection that is missing the Safety barrier on the loading chute Portside. A sling has been put in place instead of the correct barrier, located just beside.
Observado durante a inspeção 5S que está faltando a barreira de segurança no chute de carregamento bombordo. Uma tipoia foi colocada no lugar da barreira correta, localizada logo ao lado."
sling,put,barrier,"Observed during 5S inspection that is missing the Safety barrier on the loading chute Portside. A sling has been put in place instead of the correct barrier, located just beside.
Observado durante a inspeção 5S que está faltando a barreira de segurança no chute de carregamento bombordo. Uma tipoia foi colocada no lugar da barreira correta, localizada logo ao lado."
